"id","rank","cca3","country","capital","continent","area_km2"
1,36,"AFG","Afghanistan","Kabul","Asia",652230
2,138,"ALB","Albania","Tirana","Europe",28748
3,34,"DZA","Algeria","Algiers","Africa",2381741
4,213,"ASM","American Samoa","Pago Pago","Oceania",199
5,203,"AND","Andorra","Andorra la Vella","Europe",468
6,42,"AGO","Angola","Luanda","Africa",1246700
7,224,"AIA","Anguilla","The Valley","North America",91
8,201,"ATG","Antigua and Barbuda","Saint John’s","North America",442
9,33,"ARG","Argentina","Buenos Aires","South America",2780400
10,140,"ARM","Armenia","Yerevan","Asia",29743
11,198,"ABW","Aruba","Oranjestad","North America",180
12,55,"AUS","Australia","Canberra","Oceania",7692024
13,99,"AUT","Austria","Vienna","Europe",83871
14,91,"AZE","Azerbaijan","Baku","Asia",86600
15,176,"BHS","Bahamas","Nassau","North America",13943
16,154,"BHR","Bahrain","Manama","Asia",765
17,8,"BGD","Bangladesh","Dhaka","Asia",147570
18,186,"BRB","Barbados","Bridgetown","North America",430
19,96,"BLR","Belarus","Minsk","Europe",207600
20,81,"BEL","Belgium","Brussels","Europe",30528
21,177,"BLZ","Belize","Belmopan","North America",22966
22,77,"BEN","Benin","Porto-Novo","Africa",112622
23,206,"BMU","Bermuda","Hamilton","North America",54
24,165,"BTN","Bhutan","Thimphu","Asia",38394
25,80,"BOL","Bolivia","Sucre","South America",1098581
26,137,"BIH","Bosnia and Herzegovina","Sarajevo","Europe",51209
27,144,"BWA","Botswana","Gaborone","Africa",582000
28,7,"BRA","Brazil","Brasilia","South America",8515767
29,221,"VGB","British Virgin Islands","Road Town","North America",151
30,175,"BRN","Brunei","Bandar Seri Begawan","Asia",5765
31,108,"BGR","Bulgaria","Sofia","Europe",110879
32,58,"BFA","Burkina Faso","Ouagadougou","Africa",272967
33,78,"BDI","Burundi","Bujumbura","Africa",27834
34,73,"KHM","Cambodia","Phnom Penh","Asia",181035
35,53,"CMR","Cameroon","Yaounde","Africa",475442
36,39,"CAN","Canada","Ottawa","North America",9984670
37,171,"CPV","Cape Verde","Praia","Africa",4033
38,205,"CYM","Cayman Islands","George Town","North America",264
39,117,"CAF","Central African Republic","Bangui","Africa",622984
40,69,"TCD","Chad","N'Djamena","Africa",1284000
41,65,"CHL","Chile","Santiago","South America",756102
42,1,"CHN","China","Beijing","Asia",9706961
43,28,"COL","Colombia","Bogota","South America",1141748
44,163,"COM","Comoros","Moroni","Africa",1862
45,223,"COK","Cook Islands","Avarua","Oceania",236
46,124,"CRI","Costa Rica","San José","North America",51100
47,130,"HRV","Croatia","Zagreb","Europe",56594
48,85,"CUB","Cuba","Havana","North America",109884
49,189,"CUW","Curacao","Willemstad","North America",444
50,158,"CYP","Cyprus","Nicosia","Europe",9251
51,88,"CZE","Czech Republic","Prague","Europe",78865
52,115,"DNK","Denmark","Copenhagen","Europe",43094
53,160,"DJI","Djibouti","Djibouti","Africa",23200
54,204,"DMA","Dominica","Roseau","North America",751
55,84,"DOM","Dominican Republic","Santo Domingo","North America",48671
56,15,"COD","DR Congo","Kinshasa","Africa",2344858
57,67,"ECU","Ecuador","Quito","South America",276841
58,14,"EGY","Egypt","Cairo","Africa",1002450
59,112,"SLV","El Salvador","San Salvador","North America",21041
60,152,"GNQ","Equatorial Guinea","Malabo","Africa",28051
61,132,"ERI","Eritrea","Asmara","Africa",117600
62,156,"EST","Estonia","Tallinn","Europe",45227
63,159,"SWZ","Eswatini","Mbabane","Africa",17364
64,12,"ETH","Ethiopia","Addis Ababa","Africa",1104300
65,231,"FLK","Falkland Islands","Stanley","South America",12173
66,209,"FRO","Faroe Islands","Tórshavn","Europe",1393
67,162,"FJI","Fiji","Suva","Oceania",18272
68,118,"FIN","Finland","Helsinki","Europe",338424
69,23,"FRA","France","Paris","Europe",551695
70,184,"GUF","French Guiana","Cayenne","South America",83534
71,183,"PYF","French Polynesia","Papeete","Oceania",4167
72,146,"GAB","Gabon","Libreville","Africa",267668
73,142,"GMB","Gambia","Banjul","Africa",10689
74,131,"GEO","Georgia","Tbilisi","Asia",69700
75,19,"DEU","Germany","Berlin","Europe",357114
76,47,"GHA","Ghana","Accra","Africa",238533
77,219,"GIB","Gibraltar","Gibraltar","Europe",6
78,90,"GRC","Greece","Athens","Europe",131990
79,208,"GRL","Greenland","Nuuk","North America",2166086
80,193,"GRD","Grenada","Saint George's","North America",344
81,178,"GLP","Guadeloupe","Basse-Terre","North America",1628
82,191,"GUM","Guam","Hagåtña","Oceania",549
83,68,"GTM","Guatemala","Guatemala City","North America",108889
84,207,"GGY","Guernsey","Saint Peter Port","Europe",78
85,75,"GIN","Guinea","Conakry","Africa",245857
86,149,"GNB","Guinea-Bissau","Bissau","Africa",36125
87,164,"GUY","Guyana","Georgetown","South America",214969
88,82,"HTI","Haiti","Port-au-Prince","North America",27750
89,89,"HND","Honduras","Tegucigalpa","North America",112492
90,104,"HKG","Hong Kong","Hong Kong","Asia",1104
91,94,"HUN","Hungary","Budapest","Europe",93028
92,179,"ISL","Iceland","Reykjavík","Europe",103000
93,2,"IND","India","New Delhi","Asia",3287590
94,4,"IDN","Indonesia","Jakarta","Asia",1904569
95,17,"IRN","Iran","Tehran","Asia",1648195
96,35,"IRQ","Iraq","Baghdad","Asia",438317
97,125,"IRL","Ireland","Dublin","Europe",70273
98,202,"IMN","Isle of Man","Douglas","Europe",572
99,98,"ISR","Israel","Jerusalem","Asia",20770
100,25,"ITA","Italy","Rome","Europe",301336
101,52,"CIV","Ivory Coast","Yamoussoukro","Africa",322463
102,139,"JAM","Jamaica","Kingston","North America",10991
103,11,"JPN","Japan","Tokyo","Asia",377930
104,195,"JEY","Jersey","Saint Helier","Europe",116
105,83,"JOR","Jordan","Amman","Asia",89342
106,66,"KAZ","Kazakhstan","Nursultan","Asia",2724900
107,27,"KEN","Kenya","Nairobi","Africa",580367
108,192,"KIR","Kiribati","Tarawa","Oceania",811
109,129,"KWT","Kuwait","Kuwait City","Asia",17818
110,110,"KGZ","Kyrgyzstan","Bishkek","Asia",199951
111,103,"LAO","Laos","Vientiane","Asia",236800
112,151,"LVA","Latvia","Riga","Europe",64559
113,119,"LBN","Lebanon","Beirut","Asia",10452
114,147,"LSO","Lesotho","Maseru","Africa",30355
115,121,"LBR","Liberia","Monrovia","Africa",111369
116,107,"LBY","Libya","Tripoli","Africa",1759540
117,216,"LIE","Liechtenstein","Vaduz","Europe",160
118,141,"LTU","Lithuania","Vilnius","Europe",65300
119,168,"LUX","Luxembourg","Luxembourg","Europe",2586
120,167,"MAC","Macau","Concelho de Macau","Asia",30
121,50,"MDG","Madagascar","Antananarivo","Africa",587041
122,62,"MWI","Malawi","Lilongwe","Africa",118484
123,45,"MYS","Malaysia","Kuala Lumpur","Asia",330803
124,174,"MDV","Maldives","Malé","Asia",300
125,59,"MLI","Mali","Bamako","Africa",1240192
126,173,"MLT","Malta","Valletta","Europe",316
127,215,"MHL","Marshall Islands","Majuro","Oceania",181
128,180,"MTQ","Martinique","Fort-de-France","North America",1128
129,126,"MRT","Mauritania","Nouakchott","Africa",1030700
130,157,"MUS","Mauritius","Port Louis","Africa",2040
131,182,"MYT","Mayotte","Mamoudzou","Africa",374
132,10,"MEX","Mexico","Mexico City","North America",1964375
133,194,"FSM","Micronesia","Palikir","Oceania",702
134,135,"MDA","Moldova","Chisinau","Europe",33846
135,217,"MCO","Monaco","Monaco","Europe",2
136,134,"MNG","Mongolia","Ulaanbaatar","Asia",1564110
137,169,"MNE","Montenegro","Podgorica","Europe",13812
138,230,"MSR","Montserrat","Brades","North America",102
139,40,"MAR","Morocco","Rabat","Africa",446550
140,48,"MOZ","Mozambique","Maputo","Africa",801590
141,26,"MMR","Myanmar","Nay Pyi Taw","Asia",676578
142,145,"NAM","Namibia","Windhoek","Africa",825615
143,225,"NRU","Nauru","Yaren","Oceania",21
144,49,"NPL","Nepal","Kathmandu","Asia",147181
145,71,"NLD","Netherlands","Amsterdam","Europe",41850
146,185,"NCL","New Caledonia","Nouméa","Oceania",18575
147,123,"NZL","New Zealand","Wellington","Oceania",270467
