"id","country_id","year","population"
,1,2022,41128771
,1,2020,38972230
,1,2015,33753499
,1,2010,28189672
,1,2000,19542982
,1,1990,10694796
,1,1980,12486631
,1,1970,10752971
,2,2022,2842321
,2,2020,2866849
,2,2015,2882481
,2,2010,2913399
,2,2000,3182021
,2,1990,3295066
,2,1980,2941651
,2,1970,2324731
,3,2022,44903225
,3,2020,43451666
,3,2015,39543154
,3,2010,35856344
,3,2000,30774621
,3,1990,25518074
,3,1980,18739378
,3,1970,13795915
,4,2022,44273
,4,2020,46189
,4,2015,51368
,4,2010,54849
,4,2000,58230
,4,1990,47818
,4,1980,32886
,4,1970,27075
,5,2022,79824
,5,2020,77700
,5,2015,71746
,5,2010,71519
,5,2000,66097
,5,1990,53569
,5,1980,35611
,5,1970,19860
,6,2022,35588987
,6,2020,33428485
,6,2015,28127721
,6,2010,23364185
,6,2000,16394062
,6,1990,11828638
,6,1980,8330047
,6,1970,6029700
,7,2022,15857
,7,2020,15585
,7,2015,14525
,7,2010,13172
,7,2000,11047
,7,1990,8316
,7,1980,6560
,7,1970,6283
,8,2022,93763
,8,2020,92664
,8,2015,89941
,8,2010,85695
,8,2000,75055
,8,1990,63328
,8,1980,64888
,8,1970,64516
,9,2022,45510318
,9,2020,45036032
,9,2015,43257065
,9,2010,41100123
,9,2000,37070774
,9,1990,32637657
,9,1980,28024803
,9,1970,23842803
,10,2022,2780469
,10,2020,2805608
,10,2015,2878595
,10,2010,2946293
,10,2000,3168523
,10,1990,3556539
,10,1980,3135123
,10,1970,2534377
,11,2022,106445
,11,2020,106585
,11,2015,104257
,11,2010,100341
,11,2000,89101
,11,1990,65712
,11,1980,62267
,11,1970,59106
,12,2022,26177413
,12,2020,25670051
,12,2015,23820236
,12,2010,22019168
,12,2000,19017963
,12,1990,17048003
,12,1980,14706322
,12,1970,12595034
,13,2022,8939617
,13,2020,8907777
,13,2015,8642421
,13,2010,8362829
,13,2000,8010428
,13,1990,7678729
,13,1980,7547561
,13,1970,7465301
,14,2022,10358074
,14,2020,10284951
,14,2015,9863480
,14,2010,9237202
,14,2000,8190337
,14,1990,7427836
,14,1980,6383060
,14,1970,5425317
,15,2022,409984
,15,2020,406471
,15,2015,392697
,15,2010,373272
,15,2000,325014
,15,1990,270679
,15,1980,223752
,15,1970,179129
,16,2022,1472233
,16,2020,1477469
,16,2015,1362142
,16,2010,1213645
,16,2000,711442
,16,1990,517418
,16,1980,362595
,16,1970,222555
,17,2022,171186372
,17,2020,167420951
,17,2015,157830000
,17,2010,148391139
,17,2000,129193327
,17,1990,107147651
,17,1980,83929765
,17,1970,67541860
,18,2022,281635
,18,2020,280693
,18,2015,278083
