"country_id","year","population"
36,1970,10752971
36,1980,12486631
36,1990,10694796
36,2000,19542982
36,2010,28189672
36,2015,33753499
36,2020,38972230
36,2022,41128771
138,1970,2324731
138,1980,2941651
138,1990,3295066
138,2000,3182021
138,2010,2913399
138,2015,2882481
138,2020,2866849
138,2022,2842321
34,1970,13795915
34,1980,18739378
34,1990,25518074
34,2000,30774621
34,2010,35856344
34,2015,39543154
34,2020,43451666
34,2022,44903225
213,1970,27075
213,1980,32886
213,1990,47818
213,2000,58230
213,2010,54849
213,2015,51368
213,2020,46189
213,2022,44273
203,1970,19860
203,1980,35611
203,1990,53569
203,2000,66097
203,2010,71519
203,2015,71746
203,2020,77700
203,2022,79824
42,1970,6029700
42,1980,8330047
42,1990,11828638
42,2000,16394062
42,2010,23364185
42,2015,28127721
42,2020,33428485
42,2022,35588987
224,1970,6283
224,1980,6560
224,1990,8316
224,2000,11047
224,2010,13172
224,2015,14525
224,2020,15585
224,2022,15857
201,1970,64516
201,1980,64888
201,1990,63328
201,2000,75055
201,2010,85695
201,2015,89941
201,2020,92664
201,2022,93763
33,1970,23842803
33,1980,28024803
33,1990,32637657
33,2000,37070774
33,2010,41100123
33,2015,43257065
33,2020,45036032
33,2022,45510318
140,1970,2534377
140,1980,3135123
140,1990,3556539
140,2000,3168523
140,2010,2946293
140,2015,2878595
140,2020,2805608
140,2022,2780469
198,1970,59106
198,1980,62267
198,1990,65712
198,2000,89101
198,2010,100341
198,2015,104257
198,2020,106585
198,2022,106445
55,1970,12595034
55,1980,14706322
55,1990,17048003
55,2000,19017963
55,2010,22019168
55,2015,23820236
55,2020,25670051
55,2022,26177413
99,1970,7465301
99,1980,7547561
99,1990,7678729
99,2000,8010428
99,2010,8362829
99,2015,8642421
99,2020,8907777
99,2022,8939617
91,1970,5425317
91,1980,6383060
91,1990,7427836
91,2000,8190337
91,2010,9237202
91,2015,9863480
91,2020,10284951
91,2022,10358074
176,1970,179129
176,1980,223752
176,1990,270679
176,2000,325014
176,2010,373272
176,2015,392697
176,2020,406471
176,2022,409984
154,1970,222555
154,1980,362595
154,1990,517418
154,2000,711442
154,2010,1213645
154,2015,1362142
154,2020,1477469
154,2022,1472233
8,1970,67541860
8,1980,83929765
8,1990,107147651
8,2000,129193327
8,2010,148391139
8,2015,157830000
8,2020,167420951
8,2022,171186372
186,1970,241397
186,1980,253575
186,1990,258868
186,2000,264657
186,2010,274711
186,2015,278083
186,2020,280693
186,2022,281635
96,1970,9170786
96,1980,9817257
96,1990,10428525
96,2000,10256483
96,2010,9731427
96,2015,9700609
96,2020,9633740
96,2022,9534954
81,1970,9629376
81,1980,9828986
81,1990,9959560
81,2000,10264343
81,2010,10877947
81,2015,11248303
81,2020,11561717
81,2022,11655930
177,1970,120905
177,1980,145133
177,1990,182589
177,2000,240406
177,2010,322106
177,2015,359871
177,2020,394921
177,2022,405272
77,1970,3023443
77,1980,3833939
77,1990,5133419
77,2000,6998023
77,2010,9445710
77,2015,10932783
77,2020,12643123
77,2022,13352864
206,1970,52019
206,1980,53565
206,1990,57470
206,2000,61371
206,2010,63447
206,2015,63144
206,2020,64031
206,2022,64184
165,1970,298894
165,1980,415257
165,1990,558442
165,2000,587207
165,2010,705516
165,2015,743274
165,2020,772506
165,2022,782455
80,1970,4585693
80,1980,5736088
80,1990,7096194
80,2000,8592656
80,2010,10223270
80,2015,11090085
80,2020,11936162
80,2022,12224110
137,1970,3815561
137,1980,4199820
137,1990,4494310
137,2000,4179350
137,2010,3811088
137,2015,3524324
137,2020,3318407
137,2022,3233526
144,1970,592244
144,1980,938578
144,1990,1341474
144,2000,1726985
144,2010,2091664
144,2015,2305171
144,2020,2546402
144,2022,2630296
7,1970,96369875
7,1980,122288383
7,1990,150706446
7,2000,175873720
7,2010,196353492
7,2015,205188205
7,2020,213196304
7,2022,215313498
221,1970,9581
221,1980,11109
221,1990,15617
221,2000,20104
221,2010,27556
221,2015,29366
221,2020,30910
221,2022,31305
175,1970,133343
175,1980,187921
175,1990,261928
175,2000,333926
175,2010,396053
175,2015,421437
175,2020,441725
175,2022,449002
108,1970,8582950
108,1980,8980606
108,1990,8767778
108,2000,8097691
108,2010,7592273
108,2015,7309253
108,2020,6979175
108,2022,6781953
58,1970,5611666
58,1980,6932967
58,1990,9131361
58,2000,11882888
58,2010,16116845
58,2015,18718019
58,2020,21522626
58,2022,22673762
78,1970,3497834
78,1980,4312834
78,1990,5483793
78,2000,6307659
78,2010,9126605
78,2015,10727148
78,2020,12220227
78,2022,12889576
73,1970,6708525
73,1980,6198959
73,1990,8910808
73,2000,12118841
73,2010,14363532
73,2015,15417523
73,2020,16396860
73,2022,16767842
53,1970,6452787
53,1980,8519891
53,1990,11430520
53,2000,15091594
53,2010,19878036
53,2015,23012646
53,2020,26491087
53,2022,27914536
39,1970,21434577
39,1980,24511510
39,1990,27657204
39,2000,30683313
39,2010,33963412
39,2015,35732126
39,2020,37888705
39,2022,38454327
171,1970,287262
171,1980,317234
171,1990,364563
171,2000,458251
171,2010,521212
171,2015,552166
171,2020,582640
171,2022,593149
205,1970,10533
205,1980,17100
205,1990,26027
205,2000,39658
205,2010,54074
205,2015,60911
205,2020,67311
205,2022,68706
117,1970,2067356
117,1980,2415276
117,1990,2809221
117,2000,3759170
117,2010,4660067
117,2015,4819333
117,2020,5343020
117,2022,5579144
69,1970,3667394
69,1980,4408230
69,1990,5827069
69,2000,8259137
69,2010,11894727
69,2015,14140274
69,2020,16644701
69,2022,17723315
65,1970,9820481
65,1980,11469828
65,1990,13342868
65,2000,15351799
65,2010,17004162
65,2015,17870124
65,2020,19300315
65,2022,19603733
1,1970,822534450
1,1980,982372466
1,1990,1153704252
1,2000,1264099069
1,2010,1348191368
1,2015,1393715448
1,2020,1424929781
1,2022,1425887337
28,1970,20905254
28,1980,26176195
28,1990,32601393
28,2000,39215135
28,2010,44816108
28,2015,47119728
28,2020,50930662
28,2022,51874024
163,1970,242351
163,1980,328328
163,1990,431119
163,2000,536758
163,2010,656024
163,2015,730216
163,2020,806166
163,2022,836774
223,1970,20470
223,1980,17651
223,1990,17123
223,2000,15897
223,2010,17212
223,2015,17695
223,2020,17029
223,2022,17011
124,1970,1855697
124,1980,2414303
124,1990,3158253
124,2000,3979193
124,2010,4622252
124,2015,4895242
124,2020,5123105
124,2022,5180829
130,1970,4492638
130,1980,4680144
130,1990,4873707
130,2000,4548434
130,2010,4368682
130,2015,4254815
130,2020,4096868
130,2022,4030358
85,1970,8869636
85,1980,9809107
85,1990,10626680
85,2000,11105791
85,2010,11290417
85,2015,11339894
85,2020,11300698
85,2022,11212191
189,1970,150385
189,1980,156851
189,1990,155446
189,2000,141424
189,2010,159380
189,2015,169572
189,2020,189288
189,2022,191163
158,1970,640804
158,1980,679327
158,1990,788500
158,2000,948237
158,2010,1129686
158,2015,1187280
158,2020,1237537
158,2022,1251488
88,1970,9795744
88,1980,10270060
88,1990,10301192
88,2000,10234710
88,2010,10464749
88,2015,10523798
88,2020,10530953
88,2022,10493986
115,1970,4922963
115,1980,5125392
115,1990,5144623
115,2000,5340655
115,2010,5550849
115,2015,5677796
115,2020,5825641
115,2022,5882261
160,1970,144379
160,1980,324121
160,1990,577173
160,2000,742033
160,2010,919199
160,2015,1006259
160,2020,1090156
160,2022,1120849
204,1970,68895
204,1980,72978
204,1990,69481
204,2000,68346
204,2010,68755
204,2015,70007
204,2020,71995
204,2022,72737
84,1970,4475871
84,1980,5755800
84,1990,7129004
84,2000,8540791
84,2010,9775755
84,2015,10405832
84,2020,10999664
84,2022,11228821
15,1970,20151733
15,1980,26708686
15,1990,35987541
15,2000,48616317
15,2010,66391257
15,2015,78656904
15,2020,92853164
15,2022,99010212
67,1970,6172215
67,1980,8135845
67,1990,10449837
67,2000,12626507
67,2010,14989585
67,2015,16195902
67,2020,17588595
67,2022,18001000
14,1970,34781986
14,1980,43748556
14,1990,57214630
14,2000,71371371
14,2010,87252413
14,2015,97723799
14,2020,107465134
14,2022,110990103
112,1970,3619090
112,1980,4508992
112,1990,5367179
112,2000,5958482
112,2010,6114034
112,2015,6231066
112,2020,6292731
112,2022,6336392
152,1970,316955
152,1980,282509
152,1990,465549
152,2000,684977
152,2010,1094524
152,2015,1346973
152,2020,1596049
152,2022,1674908
132,1970,1272748
132,1980,1657982
132,1990,2149960
132,2000,2392880
132,2010,3147727
132,2015,3340006
132,2020,3555868
132,2022,3684032
156,1970,1361999
156,1980,1476983
156,1990,1570674
156,2000,1396877
156,2010,1331535
156,2015,1314657
156,2020,1329444
156,2022,1326062
159,1970,442865
159,1980,598564
159,1990,854011
159,2000,1030496
159,2010,1099920
159,2015,1133936
159,2020,1180655
159,2022,1201670
12,1970,28308246
12,1980,34945469
12,1990,47878073
12,2000,67031867
12,2010,89237791
12,2015,102471895
12,2020,117190911
12,2022,123379924
231,1970,2274
231,1980,2240
231,1990,2332
231,2000,3080
231,2010,3187
231,2015,3408
231,2020,3747
231,2022,3780
209,1970,38416
209,1980,43054
209,1990,47479
209,2000,45660
209,2010,48410
209,2015,48816
209,2020,52415
209,2022,53090
162,1970,527634
162,1980,644582
162,1990,780430
162,2000,832509
162,2010,905169
162,2015,917200
162,2020,920422
162,2022,929766
118,1970,4606621
118,1980,4779418
118,1990,4986545
118,2000,5176209
118,2010,5363271
118,2015,5479461
118,2020,5529468
118,2022,5540745
23,1970,50523586
23,1980,53713830
23,1990,56412897
23,2000,58665453
23,2010,62444567
23,2015,63809769
23,2020,64480053
23,2022,64626628
184,1970,46484
184,1980,66825
184,1990,113931
184,2000,164351
184,2010,228453
184,2015,257026
184,2020,290969
184,2022,304557
183,1970,117891
183,1980,163591
183,1990,211089
183,2000,250927
183,2010,283788
183,2015,291787
183,2020,301920
183,2022,306279
146,1970,597192
146,1980,749078
146,1990,983028
146,2000,1272935
146,2010,1711105
146,2015,2028517
146,2020,2292573
146,2022,2388992
142,1970,528731
142,1980,718586
142,1990,1040616
142,2000,1437539
142,2010,1937275
142,2015,2253133
142,2020,2573995
142,2022,2705992
131,1970,4800426
131,1980,5145843
131,1990,5391636
131,2000,4265172
131,2010,3836831
131,2015,3771132
131,2020,3765912
131,2022,3744385
19,1970,78294583
19,1980,77786703
19,1990,79370196
19,2000,81551677
19,2010,81325090
19,2015,82073226
19,2020,83328988
19,2022,83369843
47,1970,8861895
47,1980,11865246
47,1990,15446982
47,2000,19665502
47,2010,25574719
47,2015,28870939
47,2020,32180401
47,2022,33475870
219,1970,26685
219,1980,28734
219,1990,27317
219,2000,27741
219,2010,31262
219,2015,32520
219,2020,32709
219,2022,32649
90,1970,8544873
90,1980,9307148
90,1990,10302255
90,2000,11038109
90,2010,11033783
90,2015,10806641
90,2020,10512232
90,2022,10384971
208,1970,45434
208,1980,50106
208,1990,55599
208,2000,56184
208,2010,56351
208,2015,55895
208,2020,56026
208,2022,56466
193,1970,98794
193,1980,94838
193,1990,99047
193,2000,107432
193,2010,114039
193,2015,118980
193,2020,123663
193,2022,125438
178,1970,318310
178,1980,334234
178,1990,391951
178,2000,424067
178,2010,403072
178,2015,399089
178,2020,395642
178,2022,395752
191,1970,88300
191,1980,110286
191,1990,138263
191,2000,160188
191,2010,164905
191,2015,167978
191,2020,169231
191,2022,171774
68,1970,5453208
68,1980,6987767
68,1990,9084780
68,2000,11735894
68,2010,14543121
68,2015,16001107
68,2020,17362718
68,2022,17843908
207,1970,52656
207,1980,52860
207,1990,57727
207,2000,59114
207,2010,60782
207,2015,61629
207,2020,62794
207,2022,63301
75,1970,4222374
75,1980,4972609
75,1990,6354145
75,2000,8336967
75,2010,10270728
75,2015,11625998
75,2020,13205153
75,2022,13859341
149,1970,591663
149,1980,831462
149,1990,973551
149,2000,1230849
149,2010,1567220
149,2015,1788919
149,2020,2015828
149,2022,2105566
164,1970,705261
164,1980,778176
164,1990,747116
164,2000,759051
164,2010,747932
164,2015,755031
164,2020,797202
164,2022,808726
82,1970,4680812
82,1980,5646676
82,1990,6925331
82,2000,8360225
82,2010,9842880
82,2015,10563757
82,2020,11306801
82,2022,11584996
89,1970,2782753
